movie_title,year,tagline,plot,cast,duration,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,avg_vote,total_votes,us_voters_votes,votes,votes_1,votes_2,votes_3,votes_4,votes_5,votes_6,votes_7,votes_8,votes_9,votes_10,popularity,director_score,actor_score,actress_score,tagline_sentiment,plot_sentiment,total_score,profitable,budget,revenue,budget_adj,revenue_adj
The Producers,1986,Unknown,A stage-play producer devises a plan to make money by producing a sure-fire flop.,"Zero Mostel, Gene Wilder, Dick Shawn, Kenneth Mars, Estelle Winwood, Christopher Hewett, Andréas Voutsinas, Lee Meredith, Renée Taylor, Michael Davis, John Zoller, Madelyn Cates, Frank Campanella, Arthur Rubin, Zale Kessler",88,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.95,44633.5,15308.5,44633.5,929.5,635.0,906.5,1593.0,3157.0,6115.5,9679.0,9810.5,5485.0,6322.5,0.391,6.3,6.767,6.076,0.0,-0.34,7.188,0,45000000,38058335,28217831,21247269
The Prophecy,1995,"On ancient ground, at the edge of the world, an evil born in heaven is about to be unleashed on earth.","The archangel, Gabriel comes to Earth to collect a soul which will end the stalemated war in Heaven, and only a former priest-turned-cop, a teacher and a little girl can stop him.","Christopher Walken, Elias Koteas, Virginia Madsen, Eric Stoltz, Viggo Mortensen, Amanda Plummer, Moriah 'Shining Dove' Snyder, Adam Goldberg, Steve Hytner, J.C. Quinn, Emma Shenah, Albert Nelson, Shawn Nelson, Emily Conforto, Sioux-z Jessup",98,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,28511.0,8487.0,28511.0,433.0,367.0,700.0,1339.0,3042.0,6223.0,7707.0,4527.0,1914.0,2259.0,0.706,6.5,6.183,5.946,-0.2732,-0.3687,6.7,1,8000000,16115878,11,22
The Proposal,2005,Here comes the bribe...,A pushy boss forces her young assistant to marry her in order to keep her visa status in the U.S. and avoid deportation to Canada.,"Sandra Bullock, Ryan Reynolds, Mary Steenburgen, Craig T. Nelson, Betty White, Denis O'Hare, Malin Akerman, Oscar Nuñez, Aasif Mandvi, Michael Nouri, Michael Mosley, Dale Place, Alicia Hunt, Alexis Garcia, Kortney Adams",108,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,6.05,145055.0,23310.0,145055.0,1165.0,1095.5,2089.5,4876.0,12845.5,30926.5,42803.0,25261.0,11027.0,12966.0,1.896,5.733,5.981,5.987,0.0,-0.5106,6.275,1,40000000,317375031,40656017,322580119
The Pursuit of Happyness,2006,Inspired by True Events,A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.,"Will Smith, Jaden Smith, Thandie Newton, Brian Howe, James Karen, Dan Castellaneta, Kurt Fuller, Takayo Fischer, Kevin West, George Cheung, David Michael Silverman, Domenic Bove, Geoff Callan, Joyful Raven, Scott Klace",117,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,437433.0,58538.0,437433.0,2332.0,1154.0,1865.0,3421.0,8904.0,25802.0,75958.0,142020.0,92400.0,83577.0,0.891,7.1,7.022,6.067,0.7184,-0.2023,7.95,1,55000000,307077295,59491803,332156039
The Pyramid,1976,You Only Enter Once,"A young TV news reporter grows tired of Commercial programming and decides to cover more positive stories. He is fired for his troubles, and goes on a personal search for truth and beauty ...","Michael Ashe, Tomi Barrett, Dave Beidleman, Charley Brown, Carol Cassella, June Christopher, Diana Corto, Dan Dusek, Steve Ferry, Harold Gafford, Ira Hawkins, Leonidas Ossetynski, John Parker, Jeffrey Paul, Bill Pecchi",90,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,111.0,77.0,111.0,9.0,10.0,9.0,27.0,18.0,13.0,10.0,5.0,3.0,7.0,0.646,4.6,4.6,4.6,0.0,0.1263,4.8,1,6500000,13865435,5987091,12771328
The Quiet,2005,Isn't it time everyone hears your secrets?,"Following the unexpected death of her father, a deaf teenager moves in with her godparents, where she discovers the cruel behaviour of their daughter may be indicative of a dark secret within the family.","Elisha Cuthbert, Camilla Belle, Edie Falco, Martin Donovan, Shawn Ashmore, Katy Mixon, David Gallagher, Shannon Woodward, Mj Vandivier, Jo Baker, Steve Uzzell, Ken Thomas, Rudy Costa, Myrna Cabello, Diane Quest",96,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.2,15447.0,3862.0,15447.0,363.0,275.0,482.0,942.0,1859.0,3378.0,3636.0,2063.0,858.0,1591.0,0.443,5.825,6.25,5.972,0.0,-0.8271,6.525,0,900000,381420,1004906,425879
The Rage: Carrie 2,1999,Looks Can Kill,"A horrible massacre strikes up after an outcast teenage girl is taunted by a group of high school jocks, all of them unaware of her cutthroat telekinetic powers.","Emily Bergl, Jason London, Dylan Bruno, J. Smith-Cameron, Amy Irving, Zachery Ty Bryan, John Doe, Gordon Clapp, Rachel Blanchard, Charlotte Ayanna, Justin Urich, Mena Suvari, Eli Craig, Eddie Kaye Thomas, Clint Jordan",104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.7,15304.0,5093.0,15304.0,1199.0,1101.0,1666.0,2595.0,2897.0,2344.0,1457.0,799.0,360.0,886.0,0.48,5.595,5.425,5.125,-0.6908,-0.7783,4.875,0,21000000,17762705,27490109,23252319
The Reaping,2007,What Hath God Wrought?,"A former Christian missionary, who specializes in debunking religious phenomena, investigates a small town which seems to be suffering from the 10 biblical plagues.","Hilary Swank, David Morrissey, Idris Elba, AnnaSophia Robb, Stephen Rea, William Ragsdale, John McConnell, David Jensen, Yvonne Landry, Samuel Garland, Myles Cleveland, Andrea Frankle, Mark Lynch, Stuart Greer, Lara Grice",99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.6,41606.0,9196.0,41606.0,1331.0,1266.0,2249.0,4130.0,8220.0,10506.0,7118.0,3457.0,1195.0,2134.0,0.639,5.94,5.725,6.586,0.2732,-0.4767,5.75,1,40000000,62771059,42066743,66014350
The Ref,1994,They might be his hostages but what they're doing to this guy is criminal.,"A cat burglar is forced to take a bickering, dysfunctional family hostage on Christmas Eve.","Denis Leary, Judy Davis, Kevin Spacey, Robert J. Steinmiller Jr., Glynis Johns, Raymond J. Barry, Richard Bright, Christine Baranski, Adam LeFevre, Phillip Nicoll, Ellie Raab, Bill Raymond, John Scurti, Jim Turner, Herbie Ade",96,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,22890.0,9951.0,22890.0,234.0,141.0,301.0,674.0,1697.0,4087.0,6664.0,4676.0,2146.0,2270.0,0.256,6.88,6.84,7.025,-0.6808,-0.4588,7.0,1,11000000,11439193,16182227,16828329
The Replacement Killers,1998,Kill or be replaced.,"A troubled hitman seeks aid from a forger to help him get papers to China. However, the drug lord has hired replacements to finish the job, and kill the hitman.","Yun-Fat Chow, Mira Sorvino, Michael Rooker, Kenneth Tsang, Jürgen Prochnow, Til Schweiger, Danny Trejo, Clifton Collins Jr., Carlos Gómez, Frank Medrano, Leo Lee, Patrick Kilpatrick, Randall Duk Kim, Andrew J. Marton, Sydney Coberly",87,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.2,26646.0,7112.0,26646.0,444.0,456.0,837.0,1772.0,4028.0,7276.0,6105.0,3158.0,1092.0,1478.0,0.47,6.871,6.211,6.2,-0.6908,-0.7184,6.175,0,30000000,19204929,40130864,25690346
