movie_title,year,tagline,plot,cast,duration,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,total_votes,us_voters_votes,votes,votes_1,votes_2,votes_3,votes_4,votes_5,votes_6,votes_7,votes_8,votes_9,votes_10,popularity,director_score,actor_score,actress_score,tagline_sentiment,plot_sentiment,imdb_score,profitable,budget,revenue,budget_adj,revenue_adj
(500) Days of Summer,2009,It was almost like falling in love.,"An offbeat romantic comedy about a woman who doesn't believe true love exists, and the young man who falls for her.","Joseph Gordon-Levitt, Zooey Deschanel, Geoffrey Arend, Chloë Grace Moretz, Matthew Gray Gubler, Clark Gregg, Patricia Belcher, Rachel Boston, Minka Kelly, Charles Walker, Ian Reed Kesler, Darryl Alan Reed, Valente Rodriguez, Yvette Nicole Brown, Nicole Vicius",95,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,464451.0,70179.0,464451.0,3966.0,2352.0,3553.0,7154.0,16529.0,41565.0,102465.0,142134.0,80634.0,64099.0,3.244139,7.066666666666666,6.745588235294117,6.308080808080808,0.7257,-0.128,7.7,1,7500000,60722734,7623003,61718613
10 Things I Hate About You,1999,How do I loathe thee? Let me count the ways.,"A pretty, popular teenager can't go out on a date until her ill-tempered older sister does.","Heath Ledger, Julia Stiles, Joseph Gordon-Levitt, Larisa Oleynik, David Krumholtz, Andrew Keegan, Susan May Pratt, Gabrielle Union, Larry Miller, Daryl Mitchell, Allison Janney, David Leisure, Greg Jackson, Kyle Cease, Terence Heuston",97,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,289989.0,55518.0,289989.0,1713.0,1476.0,2537.0,5417.0,14758.0,39892.0,81702.0,67431.0,33357.0,41706.0,1.769152,6.1,6.820588235294117,6.319444444444445,-0.4939,0.7184,7.3,1,16000000,53478166,20944845,70005745
10th & Wolf,2006,"The Intersection Where Family, Honor and Betrayal Collide.","A former street tough returns to his Philadelphia home after a stint in the military. Back on his home turf, he once again finds himself tangling with the mob boss who was instrumental in his going off to be a soldier.","James Marsden, Giovanni Ribisi, Brad Renfro, Piper Perabo, Dennis Hopper, Brian Dennehy, Lesley Ann Warren, Leo Rossi, Dash Mihok, Tommy Lee, Francesco Salvi, Val Kilmer, John Capodice, Billy Gallo, Ken Garito",107,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6051.0,1590.0,6051.0,111.0,64.0,134.0,318.0,702.0,1555.0,1723.0,741.0,260.0,443.0,0.384988,6.3,6.258333333333333,5.9750000000000005,-0.2263,-0.128,6.3,0,8000000,143451,8653353,155166
12 Rounds,2009,Survive all 12,"Detective Danny Fisher discovers his girlfriend has been kidnapped by an ex-con tied to Fisher's past, and he'll have to successfully complete 12 challenges in order to secure her safe release.","John Cena, Aidan Gillen, Ashley Scott, Steve Harris, Brian White, Gonzalo Menendez, Taylor Cole, Kyle Clements, Peter Navy Tuiasosopo, Travis Davis, Nick Gomez, Brian Decaro, Rosalind Rubin, Billy Slaughter, Kim Collins",108,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,26953.0,4698.0,26953.0,1185.0,833.0,1383.0,2598.0,5231.0,6883.0,4470.0,1933.0,686.0,1751.0,0.826039,6.112500000000001,5.552777777777778,6.025,0.0,0.8316,5.6,0,20000000,17280326,20328008,17563730
1408,2007,The only demons in room 1408 are those within you.,"A man who specialises in debunking paranormal occurrences checks into the fabled room 1408 in the Dolphin Hotel. Soon after settling in, he confronts genuine terror.","John Cusack, Tony Shalhoub, Len Cariou, Isiah Whitlock Jr., Jasmine Jessica Anthony, Paul Birchard, Margot Leicester, Walter Lewis, Eric Meyers, David Nicholson, Holly Hayes, Alexandra Silber, Johann Urb, Andrew Lee Potts, Emily Harvey",104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,252014.0,44714.0,252014.0,2713.0,2328.0,4240.0,9025.0,21073.0,48606.0,75943.0,49640.0,19639.0,18807.0,0.917818,6.75,6.615192075015124,6.08,0.0,-0.6486,6.8,1,25000000,94679598,26291714,99571558
17 Again,2009,Who says you're only young once?,Mike O'Donnell is ungrateful for how his life turned out. He gets a chance to rewrite his life when he tried to save a janitor near a bridge and jumped after him into a time vortex.,"Zac Efron, Leslie Mann, Thomas Lennon, Matthew Perry, Tyler Steelman, Allison Miller, Sterling Knight, Michelle Trachtenberg, Adam Gregory, Hunter Parrish, Mario Cassem, Kat Graham, Tiya Sircar, Melissa Ordway, Melora Hardin",102,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176232.0,25448.0,176232.0,3206.0,2350.0,4037.0,8749.0,21326.0,43603.0,46642.0,23454.0,9484.0,13381.0,1.732516,6.6,6.116666666666667,6.154545454545455,0.0,0.296,6.3,1,20000000,136267476,20328008,138502321
1941,1979,Paranoia meets pandemonium.,Hysterical Californians prepare for a Japanese invasion in the days after Pearl Harbor.,"Dan Aykroyd, Ned Beatty, John Belushi, Lorraine Gary, Murray Hamilton, Christopher Lee, Tim Matheson, Toshirô Mifune, Warren Oates, Robert Stack, Treat Williams, Nancy Allen, Lucille Benson, Jordan Cohen, John Candy",118,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,30826.0,9673.0,30826.0,1048.0,956.0,1602.0,2943.0,4954.0,6849.0,5902.0,3314.0,1361.0,1897.0,0.387797,7.386363636363637,6.115869565217392,6.2727272727272725,-0.25,-0.0258,5.8,0,35000000,31755742,105159390,95411841
2 Guns,2013,"2 Guns, 1 Bank.","Two hardened criminals get into trouble with the US border patrol after meeting with a Mexican drug lord, and then revelations start to unfold.","Denzel Washington, Mark Wahlberg, Paula Patton, Edward James Olmos, Bill Paxton, Robert John Burke, James Marsden, Greg Sproles, Fred Ward, Patrick Fischler, Derek Solorsano, Edgar Arreola, Kyle Clements, Christopher Matthew Cook, Tim Bell",109,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,192738.0,23776.0,192738.0,1369.0,1052.0,2020.0,4884.0,15271.0,45594.0,70025.0,32997.0,9630.0,9896.0,2.196946,6.65,6.7016880341880345,5.925,0.0,-0.7506,6.7,1,61000000,131940411,57098034,123500625
200 Cigarettes,1999,It's 11:59 on New Years Eve... do you know where your date is?,"A collection of twentysomethings try to cope with relationships, loneliness, desire and their individual neuroses.","Ben Affleck, Casey Affleck, Jennifer Albano, Jenni Blong, Morgan Brown, Caleb Carr, Dave Chappelle, Elvis Costello, Guillermo Díaz, Angela Featherstone, Patrick Frederic, Janeane Garofalo, Gaby Hoffmann, Kate Hudson, David Johansen",101,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14470.0,5506.0,14470.0,609.0,417.0,640.0,1167.0,2290.0,3205.0,2722.0,1708.0,680.0,1032.0,0.246669,6.0,6.35,6.35,0.0,-0.0258,6.0,1,6000000,6852450,7854317,8970219
2012,2009,We Were Warned.,A frustrated writer struggles to keep his family alive when a series of global catastrophes threatens to annihilate mankind.,"John Cusack, Amanda Peet, Chiwetel Ejiofor, Thandie Newton, Oliver Platt, Tom McCarthy, Woody Harrelson, Danny Glover, Liam James, Morgan Lily, Zlatko Buric, Beatrice Rosen, Alexandre Haussmann, Philippe Haussmann, Johann Urb",158,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,347291.0,45456.0,347291.0,14783.0,11469.0,18240.0,30983.0,58853.0,80728.0,65937.0,34186.0,13728.0,18384.0,2.979786,6.133333333333333,6.7662561576354685,6.073333333333333,-0.2732,-0.7096,5.8,1,200000000,769653595,203280086,782276248
21,2008,They proved the Vegas Blackjack System was beatable...by beating the hell out of it.,"""21"" is the fact-based story about six MIT students who were trained to become experts in card counting and subsequently took Vegas casinos for millions in winnings.","Jim Sturgess, Kevin Spacey, Kate Bosworth, Aaron Yoo, Liza Lapira, Jacob Pitts, Laurence Fishburne, Jack McGee, Josh Gad, Sam Golzari, Helen Carey, Jack Gilpin, Donna Lows, Butch Williams, Ben Campbell",123,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225698.0,37135.0,225698.0,1693.0,1281.0,2566.0,6173.0,16560.0,46904.0,79389.0,43451.0,14619.0,13062.0,1.377239,6.12,6.633333333333333,5.764285714285714,-0.8225,0.5423,6.8,1,35000000,69823199,35447532,70716002
21 & Over,2013,Finally.,"The night before his big medical school interview, a promising student celebrates his 21st birthday with his two best friends.","Miles Teller, Skylar Astin, Justin Chon, Sarah Wright, Jonathan Keltz, François Chau, Russell Hodgkinson, Daniel Booko, Russell Mercado, Josie Loren, Christiann Castellanos, Dustin Ybarra, Samantha Futerman, Julian Gavilanes, Josh Truax",93,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71322.0,9577.0,71322.0,1951.0,1631.0,2995.0,5688.0,12371.0,19027.0,14036.0,6538.0,2615.0,4470.0,1.010837,5.8,5.908333333333333,5.9,0.0,0.9287,5.8,1,13000000,48065672,12168433,44991072
21 Grams,2003,How much does life weigh?,"A freak accident brings together a critically ill mathematician, a grieving mother, and a born-again ex-con.","Sean Penn, Naomi Watts, Danny Huston, Carly Nahon, Claire Pakis, Benicio Del Toro, Nick Nichols, Charlotte Gainsbourg, John Rubinstein, Eddie Marsan, Loyd Keith Salter, Antef A. Harris, Melissa Leo, Marc Musso, Teresa Delgado",124,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,221361.0,30999.0,221361.0,2030.0,1101.0,1670.0,3027.0,6790.0,17761.0,50598.0,75021.0,39404.0,23959.0,0.995361,7.7,6.596666666666668,6.575,0.0,-0.9022,7.7,1,20000000,60427839,23707052,71628298
21 Jump Street,2012,They thought the streets were mean. Then they went back to high school.,A pair of underachieving cops are sent back to a local high school to blend in and bring down a synthetic drug ring.,"Jonah Hill, Channing Tatum, Brie Larson, Dave Franco, Rob Riggle, DeRay Davis, Ice Cube, Dax Flame, Chris Parnell, Ellie Kemper, Jake Johnson, Nick Offerman, Holly Robinson Peete, Johnny Pemberton, Stanley Wong",109,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502220.0,74073.0,502220.0,4232.0,2758.0,4554.0,9394.0,24696.0,70005.0,155633.0,132238.0,52060.0,46650.0,3.151021,7.033333333333334,6.304623015873015,6.383333333333333,0.0,0.0,7.2,1,42000000,201585328,39889259,191454512
22 Jump Street,2014,They're not 21 anymore,"After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college.","Jonah Hill, Channing Tatum, Peter Stormare, Wyatt Russell, Amber Stevens West, Jillian Bell, Ice Cube, Keith Lucas, Kenneth Lucas, Nick Offerman, Jimmy Tatro, Caroline Aaron, Craig Roberts, Marc Evan Jackson, Joe Chrest",112,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,339248.0,42189.0,339248.0,3324.0,2245.0,3753.0,8081.0,21200.0,56816.0,106468.0,78065.0,30372.0,28924.0,2.805019,7.033333333333334,6.271324404761904,6.271324404761904,0.0,0.0,7.0,1,50000000,188441614,46054552,173571884
27 Dresses,2008,She's about to find the perfect fit.,"After serving as a bridesmaid 27 times, a young woman wrestles with the idea of standing by her sister's side as her sibling marries the man she's secretly in love with.","Brian Kerwin, Charli Barcena, Peyton List, Jane Pfitsch, Katherine Heigl, Jennifer Lim, Brigitte Bourdeau, Judy Greer, Danielle Skraastad, Marilyn L. Costello, James Marsden, Michael Paul, Yetta Gottesman, Erin Fogel, Bern Cohen",111,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,151643.0,27341.0,151643.0,2701.0,2547.0,4472.0,9487.0,22124.0,40660.0,34516.0,17882.0,7475.0,9779.0,1.400898,5.866666666666666,5.633333333333333,5.9,0.7351,0.6369,6.1,1,30000000,160259319,30383599,162308496
30 Minutes or Less,2011,A lot can happen in 30 minutes.,"Two fledgling criminals kidnap a pizza delivery guy, strap a bomb to his chest, and inform him that he has mere hours to rob a bank or else...","Jesse Eisenberg, Danny McBride, Aziz Ansari, Nick Swardson, Dilshad Vadsaria, Michael Peña, Bianca Kajlich, Fred Ward, Sam Johnston, Jack Foley, Elizabeth Shapiro, Brett Gelman, Paul Tierney, Staci Lynn Fletcher, Gary Brichetto",83,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92398.0,20099.0,92398.0,1450.0,1328.0,2570.0,5877.0,14445.0,28112.0,23499.0,9074.0,2557.0,3486.0,0.570978,6.8,5.9,5.9,0.0,-0.8885,6.1,1,28000000,40547440,27143145,39306608
3000 Miles to Graceland,2001,Crime Is King.,A gang of ex-cons rob a casino during Elvis convention week.,"Kurt Russell, Kevin Costner, Courteney Cox, Christian Slater, Kevin Pollak, David Arquette, Jon Lovitz, Howie Long, Thomas Haden Church, Bokeem Woodbine, Ice-T, David Kaye, Louis Lombardi, Shawn Michael Howard, Michael Kopsa",125,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43235.0,11358.0,43235.0,1415.0,1100.0,1850.0,3333.0,6763.0,10819.0,9623.0,4484.0,1594.0,2254.0,0.471789,6.0,6.495811965811966,6.495811965811966,-0.5423,-0.5574,6.0,0,62000000,18720175,76352263,23053673
300: Rise of an Empire,2014,Seize your glory!,"Greek general Themistokles leads the charge against invading Persian forces led by mortal-turned-god Xerxes and Artemisia, vengeful commander of the Persian navy.","Sullivan Stapleton, Eva Green, Lena Headey, Hans Matheson, Callan Mulvey, David Wenham, Rodrigo Santoro, Jack O'Connell, Andrew Tiernan, Igal Naor, Andrew Pleavin, Peter Mensah, Ben Turner, Ashraf Barhom, Christopher Sciueref",102,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276636.0,26443.0,276636.0,11230.0,4947.0,8689.0,16617.0,35694.0,65220.0,66817.0,35849.0,14103.0,17470.0,2.979181,6.15,6.2,6.0249999999999995,0.5848,0.0,6.2,1,110000000,337580051,101320015,310941963
3:10 to Yuma,1982,Time waits for one man.,Broke small-time rancher Dan Evans is hired by the stagecoach line to put big-time captured outlaw leader Ben Wade on the 3:10 train to Yuma but Wade's gang tries to free him.,"Glenn Ford, Van Heflin, Felicia Farr, Leora Dana, Henry Jones, Richard Jaeckel, Robert Emhardt, Sheridan Comerate, George Mitchell, Robert Ellenstein, Ford Rainey",92,0.5,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,150934.0,33613.0,150934.0,1276.0,476.5,768.5,1534.0,3863.5,11827.0,35837.5,54058.5,25053.0,16239.5,1.150389,7.26,6.901641414141415,7.483333333333333,0.0,0.5499,7.650000000000001,1,55000000,70016220,57841772,73633858
42,2013,The True Story Of An American Legend,"In 1947,","Chadwick Boseman, Harrison Ford, Nicole Beharie, Christopher Meloni, Ryan Merriman, Lucas Black, André Holland, Alan Tudyk, Hamish Linklater, T.R. Knight, John C. McGinley, Toby Huss, Max Gail, Brad Beyer, James Pickens Jr.",128,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,83372.0,21185.0,83372.0,666.0,192.0,302.0,740.0,2391.0,8029.0,22966.0,27048.0,11401.0,9637.0,0.774149,7.166666666666667,7.166,5.5,0.4215,0.0,7.5,1,40000000,95020213,37441334,88942088
48 Hrs.,1982,One Cop. One Con. No Mercy.,"A hard-nosed cop reluctantly teams up with a wise-cracking criminal temporarily paroled to him, in order to track down a killer.","Nick Nolte, Eddie Murphy, Annette O'Toole, Frank McRae, James Remar, David Patrick Kelly, Sonny Landham, Brion James, Kerry Sherman, Jonathan Banks, James Keane, Tara King, Greta Blackburn, Margot Rose, Denise Crosby",96,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67647.0,16744.0,67647.0,351.0,333.0,603.0,1602.0,4817.0,13777.0,25346.0,13205.0,3924.0,3689.0,1.161942,6.677777777777778,6.2701474201474205,6.550000000000001,0.0772,-0.8442,6.9,1,1000000,78868508,2259642,178214624
5 Flights Up,2014,A coming of age story,A long-time married couple who've spent their lives together in the same New York apartment become overwhelmed by personal and real estate-related issues when they plan to move away.,"Diane Keaton, Morgan Freeman, Cynthia Nixon, Carrie Preston, Claire van der Boom, Korey Jackson, Michael Cristofer, Diane Ciesla, Josh Pais, Maddie Corman, Miriam Shor, Gary Wilmes, Liza J. Bennett, Ted Sod, Sterling Jerins",88,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9143.0,1502.0,9143.0,171.0,116.0,198.0,475.0,1290.0,2713.0,2427.0,1021.0,309.0,423.0,0.548656,6.166666666666667,6.921428571428572,6.401975308641975,0.0,0.0516,6.2,0,6000000,1020921,5526546,940361
50 First Dates,2004,Imagine having to win over the girl of your dreams... every friggin' day.,Henry Roth is a man afraid of commitment until he meets the beautiful Lucy. They hit it off and Henry think he's finally found the girl of his dreams until discovering she has short-term memory loss and forgets him the next day.,"Adam Sandler, Drew Barrymore, Rob Schneider, Sean Astin, Lusia Strus, Dan Aykroyd, Amy Hill, Allen Covert, Blake Clark, Maya Rudolph, Pomaika'i Brown, Joe Nakashima, Peter Dante, Dom Magwili, Jonathan Loughran",99,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,320588.0,56996.0,320588.0,2816.0,2711.0,4996.0,10499.0,26930.0,63581.0,97392.0,60257.0,24910.0,26496.0,2.668692,6.311111111111111,5.825179211469535,6.2789473684210515,0.5859,0.7845,6.8,1,75000000,196482882,86583404,226828759
50/50,2011,It takes a pair to beat the odds.,"Inspired by a true story, a comedy centered on a 27-year-old guy who learns of his cancer diagnosis and his subsequent struggle to beat the disease.","Joseph Gordon-Levitt, Seth Rogen, Anna Kendrick, Bryce Dallas Howard, Anjelica Huston, Serge Houde, Andrew Airlie, Matt Frewer, Philip Baker Hall, Donna Yamamoto, Sugar Lyn Beard, Yee Jee Tso, Sarah Smyth, Peter Kelamis, Jessica Parker Kennedy",100,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,311992.0,50497.0,311992.0,1307.0,712.0,1212.0,2679.0,8644.0,27706.0,81046.0,108827.0,50123.0,29736.0,1.531633,6.5,6.585972850678732,6.587142857142856,0.0,0.2023,7.6,1,8000000,39187783,7755184,37988560
54,1998,You've never been anywhere until you've been here.,The famous 1970s New York City nightclub seen and told through the eyes of a young employee.,"Ryan Phillippe, Salma Hayek, Neve Campbell, Mike Myers, Sela Ward, Breckin Meyer, Sherry Stringfield, Ellen Albertini Dow, Cameron Mathison, Noam Jenkins, Jay Goede, Patrick Taylor, Heather Matarazzo, Skipp Sudduth, Aemilia Robinson",93,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31181.0,7729.0,31181.0,705.0,706.0,1328.0,2799.0,6011.0,8457.0,6056.0,2857.0,920.0,1342.0,0.616116,5.9,6.270833333333334,5.996666666666667,0.0,0.0,5.9,1,13000000,16757163,17390041,22415981
9,2009,When our world ended their mission began.,A rag doll that awakens in a postapocalyptic future holds the key to humanity's salvation.,"Christopher Plummer, Martin Landau, John C. Reilly, Crispin Glover, Jennifer Connelly, Fred Tatasciore, Elijah Wood, Alan Oppenheimer, Tom Kane, Helen Wilson",79,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131029.0,21766.0,131029.0,1179.0,903.0,1676.0,3452.0,8435.0,21416.0,39890.0,30176.0,13668.0,10234.0,2.846465,7.1,6.430000000000001,6.522222222222222,0.0,0.0,7.1,1,30000000,48428063,15246006,24611152
90 Minutes in Heaven,2015,Hope lives,"A man involved in a horrific car crash is pronounced dead, only to come back to life an hour and a half later, claiming to have seen Heaven.","Hayden Christensen, Kate Bosworth, Hudson Meek, Bobby Batson, Elizabeth Hunter, Nicholas Pryor, Michael Harding, Cynthia Barrett, Bruce Taylor, Matt Bauman, Trevor Allen Martin, Sallye Hooks, Mark Oliver, Matthew Cornwell, Jody Thompson",121,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3333.0,725.0,3333.0,450.0,197.0,254.0,464.0,467.0,433.0,305.0,188.0,165.0,410.0,0.298751,5.340000000000001,5.3,5.764285714285714,0.4404,-0.8442,4.8,0,5000000,4842699,4599997,4455281
99 Homes,2014,Greed is the only game in town.,A recently unemployed single father struggles to get back his foreclosed home by working for the real estate broker who is the source of his frustration.,"Michael Shannon, Douglas M. Griffin, Randy Austin, Carl Palmer, Andrew Garfield, James Brown, Luke Sexton, Noah Lomax, Alex Aristidis, Tim Guinee, Jonathan Tabler, Garrett Kruithof, Richard Holden, Deneen Tyler, Albert C. Bates",112,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29595.0,4893.0,29595.0,253.0,103.0,181.0,441.0,1387.0,5019.0,11624.0,7421.0,1936.0,1230.0,0.661471,6.0,6.368560606060606,7.233333333333333,-0.4019,-0.6808,7.1,0,8000000,1411927,7359996,1298972
A Better Life,2011,Every father wants more for his son.,A gardener in East L.A. struggles to keep his son away from gangs and immigration agents while trying to give his son the opportunities he never had.,"Demián Bichir, Eddie 'Piolin' Sotelo, Joaquín Cosio, José Julián, Nancy Lenehan, Gabriel Chavarria, Bobby Soto, Chelsea Rendon, Trampas Thompson, Tim Griffin, Valorie Hubbard, Dolores Heredia, Isabella Rae Thomas, Carlos Linares, Robert Peters",98,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15112.0,3195.0,15112.0,187.0,88.0,96.0,215.0,616.0,2051.0,5101.0,3819.0,1482.0,1457.0,0.524684,6.3,7.125,7.125,0.0,0.0258,7.2,0,10000000,1759252,9693980,1705415
A Bug's Life,1998,An epic presentation of miniature proportions.,"A misfit ant, looking for ""warriors"" to save his colony from greedy grasshoppers, recruits a group of bugs that turn out to be an inept circus troupe.","Dave Foley, Kevin Spacey, Julia Louis-Dreyfus, Hayden Panettiere, Phyllis Diller, Richard Kind, David Hyde Pierce, Joe Ranft, Denis Leary, Jonathan Harris, Madeline Kahn, Bonnie Hunt, Michael McShane, John Ratzenberger, Brad Garrett",95,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261431.0,53048.0,261431.0,1250.0,932.0,1839.0,4451.0,13114.0,40610.0,90430.0,66039.0,23063.0,19703.0,2.005566,7.11,7.1,6.4399999999999995,0.0,0.2263,7.2,1,120000000,363398565,160523456,486116613
A Christmas Carol,1988,Season's Greedings,"On Christmas Eve, Ebenezer Scrooge is visited by the spirit of his former partner, Jacob Marley. The deceased partner was as mean and miserly as Scrooge is now and he warns him to change his ways or face the consequences in the afterlife.","Reginald Owen, Gene Lockhart, Kathleen Lockhart, Terry Kilburn, Barry MacKay, Lynne Carver, Leo G. Carroll, Lionel Braham, Ann Rutherford, D'Arcy Corrigan, Ronald Sinclair",69,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34872.666666666664,5958.333333333333,34872.666666666664,459.6666666666667,320.3333333333333,581.3333333333334,1186.3333333333333,2956.3333333333335,6845.666666666667,10222.333333333334,6327.666666666667,2642.0,3331.0,1.714887,5.982499999999999,6.486176948051949,4.724999999999999,0.0,-0.2732,6.033333333333339,1,200000000,325233863,67760028,110189279
A Civil Action,1998,Justice has its price.,"A tenacious lawyer takes on a case involving a major company responsible for causing several people to be diagnosed with leukemia due to the town's water supply being contaminated, at the risk of bankrupting his firm and career.","John Travolta, Robert Duvall, Tony Shalhoub, William H. Macy, Zeljko Ivanek, Bruce Norris, John Lithgow, Kathleen Quinlan, Peter Jacobson, Mary Mara, James Gandolfini, Stephen Fry, Dan Hedaya, David Thornton, Sydney Pollack",115,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27052.0,8300.0,27052.0,302.0,255.0,407.0,1015.0,2844.0,7090.0,8879.0,4160.0,1166.0,934.0,0.488243,7.0,6.579252136752136,6.0,0.5267,0.0516,6.6,0,70000000,56702901,93638682,75851213
A Dirty Shame,2004,Threatening the very limits of common decency.,"An uptight, middle-aged, repressed woman turns into a sex addict after getting hit on the head, and she then falls into an underground subculture of sex addicts in suburban Baltimore.","Tracey Ullman, Johnny Knoxville, Selma Blair, Chris Isaak, Suzanne Shepherd, Mink Stole, Patricia Hearst, Jackie Hoffman, Nick Noble, Lucy Newman-Williams, Scott Morgan, Wes Johnson, David A. Dunham, David Moretti, Jeffrey Auerbach",89,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12098.0,3464.0,12098.0,1360.0,822.0,917.0,1240.0,1818.0,1906.0,1592.0,1030.0,477.0,936.0,0.225831,6.487499999999999,5.4312499999999995,6.050000000000001,-0.5267,-0.5994,5.1,0,15000000,1914166,17316681,2209800
