movie_title,year,tagline,plot,cast,duration,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,total_votes,us_voters_votes,votes,votes_1,votes_2,votes_3,votes_4,votes_5,votes_6,votes_7,votes_8,votes_9,votes_10,popularity,director_score,actor_score,actress_score,tagline_sentiment,plot_sentiment,imdb_score,profitable,budget,revenue,budget_adj,revenue_adj
Mr. Popper's Penguins,2011,Unknown,"The life of a businessman begins to change after he inherits six penguins, and as he transforms his apartment into a winter wonderland, his professional side starts to unravel.","Jim Carrey, Carla Gugino, Angela Lansbury, Ophelia Lovibond, Madeline Carroll, Clark Gregg, Jeffrey Tambor, David Krumholtz, Philip Baker Hall, Maxwell Perry Cotton, James Tupper, Dominic Chianese, William Charles Mitchell, Henry Kelemen, Kelli Barrett",94,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86091.0,9702.0,86091.0,1669.0,1439.0,2797.0,6052.0,14277.0,25317.0,18425.0,7820.0,2798.0,5497.0,1.825552,6.050000000000001,6.705,6.294761904761905,0.0,0.0,6.0,1,55000000,187361754,53316892,181628117
Mrs. Doubtfire,1993,She makes dinner. She does windows. She reads bedtime stories. She's a blessing... in disguise.,"After a bitter divorce, an actor disguises himself as a female housekeeper to spend time with his children held in custody by his former wife.","Robin Williams, Sally Field, Pierce Brosnan, Harvey Fierstein, Polly Holliday, Lisa Jakub, Matthew Lawrence, Mara Wilson, Robert Prosky, Anne Haney, Scott Capurro, Sydney Walker, Joe Bellan, Martin Mull, Terence McGovern",125,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239445.0,51013.0,239445.0,1648.0,1518.0,2978.0,6199.0,16718.0,43419.0,75692.0,49404.0,19521.0,22348.0,1.732126,6.728571428571428,6.583549783549784,6.561111111111112,-0.25,-0.5859,7.0,1,25000000,441286195,37736749,666108255
Mud,2012,People just sometimes forget why they fell in love in the first place.,Two young boys encounter a fugitive and form a pact to help him evade the vigilantes that are on his trail and to reunite him with his true love.,"Matthew McConaughey, Reese Witherspoon, Tye Sheridan, Jacob Lofland, Sam Shepard, Ray McKinnon, Sarah Paulson, Michael Shannon, Joe Don Baker, Paul Sparks, Bonnie Sturdivant, Stuart Greer, John Ward Jr., Kristy Barrington, Johnny Cheek",130,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164768.0,29165.0,164768.0,880.0,548.0,993.0,2179.0,6129.0,19934.0,52945.0,53261.0,18345.0,9554.0,0.864697,7.333333333333333,6.52379679144385,6.52379679144385,0.5106,0.8658,7.4,1,10000000,21587700,9360333,20206807
Mulan,1998,"This time, the princess saves the prince.","To save her father from death in the army, a young maiden secretly goes in his place and becomes one of China's greatest heroines in the process.","Miguel Ferrer, Harvey Fierstein, Freda Foh Shen, June Foray, James Hong, Miriam Margolyes, Pat Morita, Eddie Murphy, Marni Nixon, Soon-Tek Oh, Donny Osmond, Lea Salonga, James Shigeta, George Takei, Jerry Tondo",88,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244506.0,45256.0,244506.0,1191.0,651.0,1174.0,2642.0,8109.0,24211.0,64039.0,72050.0,34097.0,36342.0,2.770692,7.6,6.35045045045045,7.6,0.0,0.743,7.6000000000000005,1,90000000,304320254,120392592,407087824
Muppets Most Wanted,2014,Taking the world by farce,"While on a grand world tour,","Ricky Gervais, Ty Burrell, Tina Fey, Steve Whitmire, Eric Jacobson, Dave Goelz, Bill Barretta, David Rudman, Matt Vogel, Peter Linz, Tony Bennett, Hugh Bonneville, William Brand, Andrés Cantor, Jemaine Clement",107,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30943.0,7301.0,30943.0,588.0,352.0,648.0,1395.0,3588.0,8173.0,8893.0,4041.0,1299.0,1966.0,0.574398,6.75,6.461111111111111,6.275,-0.4019,0.4588,6.4,1,50000000,80383113,46054552,74040166
Muppets from Space,1999,Space. It's not as deep as you think.,"Gonzo is contacted by his alien family through his breakfast cereal. But when the men in black kidnap him, it's up to Kermit and the gang to rescue Gonzo and help him reunite with his long-lost family.","Dave Goelz, Steve Whitmire, Bill Barretta, Jerry Nelson, Brian Henson, Kevin Clash, Frank Oz, Jeffrey Tambor, F. Murray Abraham, Rob Schneider, Josh Charles, Ray Liotta, David Arquette, Andie MacDowell, Kathy Griffin",87,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17739.0,6522.0,17739.0,339.0,229.0,466.0,1054.0,2455.0,4887.0,4185.0,2067.0,779.0,1278.0,1.104937,5.633333333333333,6.433333333333334,6.433333333333334,0.0,0.7184,6.3,0,24000000,16290976,31417268,21325748
Murder by Numbers,2002,The only flaw in their plan was her.,"Two gifted high school students execute a ""perfect"" murder - then become engaged in an intellectual contest with a seasoned homicide detective.","Sandra Bullock, Ben Chaplin, Ryan Gosling, Michael Pitt, Agnes Bruckner, Chris Penn, R.D. Call, Tom Verica, Janni Brenn, John Vickery, Michael Canavan, Krista Carpenter, Neal Matarazzo, Adilah Barnes, Jim Jansen",115,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,52231.0,11414.0,52231.0,659.0,644.0,1289.0,3041.0,8217.0,16522.0,12975.0,5371.0,1519.0,1994.0,0.90146,6.316666666666667,5.875,6.2821428571428575,0.0,0.0772,6.2,1,50000000,56714147,60613069,68752370
Music and Lyrics,2007,Share the music with someone you love.,"A washed up singer is given a couple days to compose a chart-topping hit for an aspiring teen sensation. Though he's never written a decent lyric in his life, he sparks with an offbeat younger woman with a flair for words.","Hugh Grant, Scott Porter, Nick Bacon, Andrew Wyatt, Dan McMillan, Tom Foligno, Zak Orth, Brooke Tansley, Daniel Stewart Sherman, Brad Garrett, Aasif Mandvi, Drew Barrymore, Haley Bennett, Matthew Morrison, Jason Antoon",104,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,95415.0,16383.0,95415.0,1072.0,988.0,1978.0,4075.0,10108.0,21969.0,27238.0,15001.0,6001.0,6985.0,0.606428,6.35,6.253333333333334,6.2789473684210515,0.7506,0.0,6.5,1,40000000,145896422,42066743,153434683
Music of the Heart,1999,She gave them a gift they could never imagine. They gave the system a fight it would never forget.,Story of a schoolteacher's struggle to teach violin to inner-city Harlem kids.,"Meryl Streep, Cloris Leachman, Henry Dinhofer, Michael Angarano, Robert Ari, Aidan Quinn, Teddy Coluca, Angela Bassett, Josh Pais, Barbara Gonzalez, Jade Yorker, Victoria Gómez, Justin Pierre Edmund, Justin 'DJ' Spaulding, Zoe Sternbach-Taubman",124,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11747.0,3407.0,11747.0,261.0,115.0,228.0,395.0,1004.0,2290.0,3237.0,2039.0,902.0,1276.0,0.272771,6.0249999999999995,6.470833333333333,6.447115384615384,0.242,-0.3182,6.8,0,27000000,14859394,35344426,19451732
Must Love Dogs,2005,Unknown,"A thirty-something preschool teacher looks to the personals for a change of pace and a relationship, with hilarious results.","Diane Lane, John Cusack, Elizabeth Perkins, Christopher Plummer, Dermot Mulroney, Stockard Channing, Ali Hillis, Brad William Henke, Julie Gonzalo, Glenn Howerton, Ben Shenkman, Jordana Spiro, Kirk Trutner, Victor Webster, Michael Spound",98,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,30272.0,8853.0,30272.0,685.0,617.0,1119.0,2261.0,5411.0,8602.0,6014.0,2899.0,1061.0,1603.0,0.94817,5.9,6.794827586206897,6.367647058823529,0.0,0.4019,5.9,1,30000000,58405313,33496898,65213228
